Lead Origin,Lead Source,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,Tags,Last Notable Activity
Landing Page Submission,Google,0,1.0,233,1.0,Unreachable,Media and Advertising,Unemployed,Interested in other courses,Modified
API,Google,0,4.0,377,1.33,Page Visited on Website,Unknown,Unemployed,In confusion whether part time or DLP,Modified
Landing Page Submission,Google,1,1.0,1013,1.0,Converted to Lead,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Modified
Landing Page Submission,Google,0,4.0,771,4.0,Email Link Clicked,Finance Management,Unemployed,Ringing,Email Link Clicked
API,Google,1,6.0,1137,1.5,Email Opened,Marketing Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,1,3.0,1068,3.0,Form Submitted on Website,Travel and Tourism,Unemployed,Busy,Modified
Landing Page Submission,Organic Search,1,4.0,1000,2.0,Email Opened,Finance Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,1,6.0,1315,6.0,Email Opened,Media and Advertising,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Direct Traffic,0,5.0,182,5.0,Email Opened,Unknown,Student,switched off,Email Opened
API,Google,1,3.0,78,3.0,Unreachable,International Business,Unemployed,Will revert after reading the email,Unreachable
Landing Page Submission,Direct Traffic,1,7.0,1174,3.5,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Email Opened
API,Google,0,3.0,88,1.5,Email Opened,Unknown,Unemployed,Interested in other courses,Modified
API,Referral Sites,0,4.0,223,2.0,Page Visited on Website,Unknown,Unemployed,Interested in other courses,Modified
API,Organic Search,0,3.0,74,1.5,Email Opened,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Organic Search,1,4.0,16,2.0,Page Visited on Website,E-COMMERCE,Unemployed,Will revert after reading the email,Modified
API,Referral Sites,1,3.0,98,3.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Modified
Landing Page Submission,Google,0,4.0,1622,4.0,Unreachable,Operations Management,Unemployed,Ringing,Modified
Landing Page Submission,Google,1,5.0,563,5.0,Email Opened,Finance Management,Working Professional,Will revert after reading the email,Email Opened
API,Google,0,2.0,310,2.0,Email Link Clicked,Unknown,Unemployed,Ringing,Email Link Clicked
Landing Page Submission,Google,1,4.0,25,4.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Email Opened
API,Direct Traffic,0,3.0,342,3.0,Email Opened,Unknown,Unemployed,Busy,Email Opened
Landing Page Submission,Organic Search,0,7.0,38,7.0,Unsubscribed,Retail Management,Unemployed,Busy,Unsubscribed
API,Google,0,5.0,199,5.0,Email Opened,Unknown,Unemployed,Ringing,Email Opened
Landing Page Submission,Google,0,5.0,222,5.0,Email Opened,Finance Management,Unknown,Unknown,Email Opened
Landing Page Submission,Direct Traffic,0,6.0,275,3.0,Email Opened,Operations Management,Unemployed,in touch with EINS,Email Opened
Landing Page Submission,Google,0,4.0,287,2.0,Email Opened,Marketing Management,Unemployed,Ringing,Email Opened
Landing Page Submission,Direct Traffic,0,2.0,547,2.0,Email Opened,Finance Management,Unemployed,Already a student,Email Opened
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
API,Google,0,6.0,1225,6.0,Page Visited on Website,Supply Chain Management,Unemployed,Diploma holder (Not Eligible),Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
API,Olark Chat,1,0.0,0,0.0,Email Opened,Unknown,Unemployed,Will revert after reading the email,Modified
Landing Page Submission,Google,0,5.0,160,5.0,Email Opened,Business Administration,Unemployed,Already a student,Email Opened
Landing Page Submission,Organic Search,0,6.0,394,2.0,Unreachable,E-COMMERCE,Unemployed,Ringing,Modified
API,Google,0,6.0,286,1.5,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
API,Organic Search,0,7.0,96,2.33,Email Opened,Unknown,Unknown,Unknown,Email Opened
API,Organic Search,0,2.0,12,2.0,Email Opened,Unknown,Unemployed,switched off,Email Opened
Landing Page Submission,Referral Sites,1,13.0,436,13.0,Form Submitted on Website,IT Projects Management,Unemployed,Busy,Modified
API,Referral Sites,1,8.0,903,8.0,Page Visited on Website,Finance Management,Unemployed,Will revert after reading the email,Page Visited on Website
Landing Page Submission,Organic Search,0,17.0,409,8.5,Email Opened,Human Resource Management,Unemployed,Interested in other courses,Modified
Landing Page Submission,Referral Sites,0,11.0,685,5.5,Email Opened,Services Excellence,Unemployed,Graduation in progress,Email Opened
API,Google,0,4.0,213,4.0,Form Submitted on Website,International Business,Unemployed,Interested in other courses,Modified
API,Olark Chat,0,0.0,0,0.0,Email Opened,Unknown,Unemployed,Ringing,Email Opened
API,Organic Search,1,7.0,1468,3.5,Page Visited on Website,Marketing Management,Unemployed,Will revert after reading the email,Modified
API,Olark Chat,0,0.0,0,0.0,Email Link Clicked,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,1,4.0,1435,4.0,Email Opened,Operations Management,Working Professional,Will revert after reading the email,Email Opened
Landing Page Submission,Google,1,1.0,157,1.0,Converted to Lead,Hospitality Management,Unemployed,Will revert after reading the email,Modified
API,Google,1,3.0,885,1.5,Had a Phone Conversation,Operations Management,Unemployed,Will revert after reading the email,Had a Phone Conversation
API,Olark Chat,1,0.0,0,0.0,Email Opened,Unknown,Unemployed,Will revert after reading the email,Modified
API,Olark Chat,0,0.0,0,0.0,View in browser link Clicked,Finance Management,Unemployed,Interested in other courses,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unemployed,Ringing,Modified
Landing Page Submission,Direct Traffic,0,1.0,1710,1.0,Converted to Lead,Retail Management,Unemployed,Already a student,Modified
Landing Page Submission,Direct Traffic,0,4.0,219,4.0,Email Opened,Business Administration,Unemployed,Ringing,Email Opened
Landing Page Submission,Referral Sites,0,3.0,111,3.0,Email Bounced,International Business,Unemployed,Ringing,Modified
API,Organic Search,0,6.0,224,6.0,Page Visited on Website,Unknown,Unemployed,switched off,Modified
Landing Page Submission,Direct Traffic,0,5.0,224,1.67,Page Visited on Website,Operations Management,Unknown,Unknown,Page Visited on Website
Landing Page Submission,Direct Traffic,1,2.0,1071,2.0,Email Opened,Marketing Management,Unemployed,Lost to EINS,Email Opened
Landing Page Submission,Google,1,6.0,595,3.0,Email Opened,"Banking, Investment And Insurance",Working Professional,Will revert after reading the email,Email Opened
Lead Add Form,Welingak Website,1,0.0,1096,0.0,Email Opened,Unknown,Unemployed,Unknown,Modified
API,Referral Sites,0,4.0,520,4.0,Email Opened,Operations Management,Unemployed,in touch with EINS,Email Opened
Lead Add Form,Reference,1,0.0,705,0.0,Email Opened,Hospitality Management,Working Professional,Will revert after reading the email,Modified
API,Google,0,2.0,393,2.0,Email Opened,Unknown,Unemployed,Ringing,Email Opened
Lead Add Form,Welingak Website,1,0.0,346,0.0,Email Opened,Unknown,Unemployed,Unknown,Modified
API,Olark Chat,1,0.0,0,0.0,Email Link Clicked,Operations Management,Working Professional,Will revert after reading the email,Email Link Clicked
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,1,3.0,1136,3.0,Page Visited on Website,IT Projects Management,Unemployed,Will revert after reading the email,Modified
API,Referral Sites,0,3.0,335,3.0,Email Opened,Unknown,Unemployed,Ringing,Modified
API,Referral Sites,0,4.0,75,4.0,Email Opened,Unknown,Unemployed,Ringing,Email Opened
Landing Page Submission,Direct Traffic,0,6.0,97,3.0,Email Opened,Supply Chain Management,Unknown,Unknown,Email Opened
Lead Add Form,Reference,1,0.0,1007,0.0,Email Opened,Human Resource Management,Unemployed,Closed by Horizzon,Modified
Landing Page Submission,Organic Search,0,2.0,1085,2.0,Converted to Lead,Rural and Agribusiness,Unemployed,Interested in other courses,Modified
API,Organic Search,0,3.0,214,3.0,Page Visited on Website,Unknown,Unemployed,Interested in other courses,Modified
API,Olark Chat,1,6.0,1158,1.5,Email Opened,Business Administration,Unemployed,Unknown,Email Opened
Landing Page Submission,Google,0,4.0,101,4.0,Email Opened,Finance Management,Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,9.0,838,4.5,Email Opened,Healthcare Management,Unknown,Unknown,Email Opened
Landing Page Submission,Direct Traffic,0,3.0,536,3.0,Unreachable,Finance Management,Unemployed,number not provided,Modified
Landing Page Submission,Direct Traffic,0,4.0,161,2.0,Unreachable,Marketing Management,Unemployed,Busy,Unreachable
Landing Page Submission,Google,0,2.0,511,2.0,Form Submitted on Website,Healthcare Management,Unemployed,Diploma holder (Not Eligible),Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unemployed,opp hangup,Modified
API,Google,1,5.0,1110,5.0,Olark Chat Conversation,Human Resource Management,Working Professional,Will revert after reading the email,Modified
Landing Page Submission,Direct Traffic,1,5.0,1563,5.0,Email Opened,Finance Management,Unemployed,Will revert after reading the email,Email Opened
API,Referral Sites,0,7.0,1633,3.5,Converted to Lead,Unknown,Unemployed,Ringing,Modified
API,Olark Chat,1,0.0,0,0.0,Email Opened,Unknown,Unemployed,Unknown,Modified
Landing Page Submission,Google,0,12.0,809,4.0,Unreachable,Finance Management,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,0,2.0,638,2.0,Page Visited on Website,Healthcare Management,Unemployed,switched off,Modified
API,Google,1,5.0,1196,5.0,Page Visited on Website,Unknown,Unemployed,Unknown,Modified
Landing Page Submission,Organic Search,0,6.0,1485,6.0,Email Opened,Supply Chain Management,Unemployed,Ringing,Email Opened
API,Google,0,9.0,125,3.0,Page Visited on Website,Unknown,Unknown,Interested in other courses,Modified
API,Google,1,3.0,165,3.0,Olark Chat Conversation,Unknown,Unemployed,Unknown,Modified
Landing Page Submission,Google,0,6.0,398,3.0,Olark Chat Conversation,E-COMMERCE,Unknown,Unknown,Olark Chat Conversation
API,Organic Search,0,3.0,570,3.0,Converted to Lead,Unknown,Unknown,Interested in other courses,Modified
Landing Page Submission,Organic Search,1,6.0,895,6.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,1,4.0,1190,4.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Email Opened
Lead Add Form,Reference,1,0.0,0,0.0,Email Link Clicked,Business Administration,Working Professional,Closed by Horizzon,Email Link Clicked
API,Direct Traffic,0,5.0,1566,5.0,Converted to Lead,Unknown,Unemployed,Graduation in progress,Modified
API,Google,1,5.0,727,5.0,Email Opened,Unknown,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,0,8.0,652,4.0,Unreachable,Hospitality Management,Unemployed,Ringing,Modified
API,Organic Search,0,4.0,1248,1.33,Email Opened,Unknown,Unknown,Unknown,Email Opened
API,Google,0,2.0,767,2.0,Email Opened,Unknown,Unemployed,Already a student,Modified
API,Referral Sites,0,10.0,275,3.33,Page Visited on Website,Unknown,Unemployed,Interested in other courses,Page Visited on Website
API,Organic Search,0,3.0,273,3.0,Converted to Lead,Unknown,Unemployed,switched off,Modified
Lead Add Form,Reference,1,0.0,1111,0.0,Email Opened,Marketing Management,Working Professional,Closed by Horizzon,Modified
Landing Page Submission,Google,0,8.0,277,4.0,Email Opened,Finance Management,Unknown,Unknown,Email Opened
API,Organic Search,1,3.0,1207,1.5,Olark Chat Conversation,Unknown,Unemployed,Unknown,Modified
API,Google,0,2.0,39,1.0,Converted to Lead,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,0,4.0,1638,4.0,Email Opened,Finance Management,Unemployed,Ringing,Email Opened
API,Referral Sites,0,16.0,53,16.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,0,1.0,127,1.0,Converted to Lead,Finance Management,Unemployed,Already a student,Modified
Landing Page Submission,Organic Search,0,5.0,100,5.0,Page Visited on Website,Supply Chain Management,Unemployed,switched off,Modified
Landing Page Submission,Google,0,4.0,323,4.0,Unsubscribed,International Business,Unknown,Unknown,Unsubscribed
API,Google,1,2.0,160,1.0,Olark Chat Conversation,Unknown,Unemployed,Unknown,Modified
Lead Add Form,Reference,1,0.0,0,0.0,Email Opened,Marketing Management,Businessman,Closed by Horizzon,Modified
API,Google,0,1.0,263,1.0,Converted to Lead,Unknown,Unemployed,Interested in other courses,Modified
API,Google,0,2.0,1218,2.0,Olark Chat Conversation,Unknown,Unemployed,Interested in other courses,Modified
Lead Add Form,Reference,1,0.0,986,0.0,Email Opened,Marketing Management,Working Professional,Closed by Horizzon,Modified
Lead Add Form,Welingak Website,1,0.0,889,0.0,Email Opened,Unknown,Unemployed,Unknown,Modified
Landing Page Submission,Google,1,5.0,1091,5.0,Unreachable,Finance Management,Unemployed,Will revert after reading the email,Unreachable
Landing Page Submission,Direct Traffic,0,4.0,291,4.0,Olark Chat Conversation,Supply Chain Management,Unknown,Unknown,Modified
Lead Add Form,Reference,1,0.0,0,0.0,Email Opened,Hospitality Management,Unemployed,Closed by Horizzon,Modified
API,Google,0,1.0,1759,1.0,Olark Chat Conversation,Unknown,Unemployed,Unknown,Olark Chat Conversation
Landing Page Submission,Referral Sites,0,7.0,41,3.5,Email Opened,Services Excellence,Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,5.0,386,5.0,Email Opened,Business Administration,Unemployed,Interested in other courses,Modified
API,Referral Sites,0,6.0,216,2.0,Page Visited on Website,Unknown,Unknown,Unknown,Page Visited on Website
Landing Page Submission,Google,1,5.0,1603,5.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,google,0,7.0,106,3.5,Page Visited on Website,Unknown,Unknown,Unknown,Modified
API,Google,0,2.0,73,2.0,Unreachable,Unknown,Unemployed,switched off,Modified
API,Google,0,2.0,77,2.0,Converted to Lead,Unknown,Unemployed,Unknown,Modified
Landing Page Submission,Direct Traffic,0,3.0,718,3.0,Unreachable,Hospitality Management,Unknown,Unknown,Modified
Landing Page Submission,Google,0,5.0,432,1.67,Olark Chat Conversation,Marketing Management,Unknown,Unknown,Olark Chat Conversation
Landing Page Submission,Google,0,5.0,232,2.5,Email Opened,Human Resource Management,Unemployed,Interested in other courses,Email Opened
Landing Page Submission,Direct Traffic,0,2.0,702,2.0,Email Opened,Hospitality Management,Unemployed,Not doing further education,Email Opened
Landing Page Submission,Organic Search,1,5.0,614,5.0,Unreachable,Finance Management,Unemployed,Will revert after reading the email,Unreachable
Landing Page Submission,Direct Traffic,1,1.0,1808,1.0,Converted to Lead,IT Projects Management,Unknown,Lost to EINS,Modified
Landing Page Submission,Direct Traffic,0,2.0,234,1.0,Email Bounced,Finance Management,Unemployed,invalid number,Modified
Landing Page Submission,Direct Traffic,0,3.0,245,3.0,Unreachable,Finance Management,Unemployed,Ringing,Modified
Landing Page Submission,Organic Search,1,8.0,1268,4.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,0,2.0,56,2.0,Email Bounced,Unknown,Unemployed,switched off,Modified
API,Referral Sites,0,4.0,174,2.0,Email Link Clicked,Unknown,Unemployed,Interested in other courses,Modified
Landing Page Submission,Direct Traffic,0,4.0,1149,2.0,Email Opened,Unknown,Unemployed,Ringing,Email Opened
Landing Page Submission,Direct Traffic,0,2.0,333,2.0,Email Opened,E-COMMERCE,Unknown,Unknown,Email Opened
API,Organic Search,0,7.0,471,2.33,Email Opened,Unknown,Unemployed,switched off,Email Opened
Landing Page Submission,Direct Traffic,1,3.0,1010,3.0,Email Opened,Supply Chain Management,Unemployed,Will revert after reading the email,Email Opened
API,Olark Chat,1,10.0,1815,3.33,Had a Phone Conversation,Operations Management,Unemployed,Will revert after reading the email,Had a Phone Conversation
Landing Page Submission,Direct Traffic,0,2.0,47,2.0,Email Link Clicked,Business Administration,Unemployed,Ringing,Email Link Clicked
Landing Page Submission,Direct Traffic,1,3.0,1528,1.5,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Modified
Landing Page Submission,Google,1,6.0,919,6.0,Email Opened,Finance Management,Unemployed,Will revert after reading the email,Email Opened
API,Organic Search,0,10.0,194,5.0,Email Link Clicked,Media and Advertising,Unemployed,Interested in other courses,Modified
API,Organic Search,0,1.0,1173,1.0,Converted to Lead,Unknown,Unemployed,Ringing,Modified
API,Google,0,2.0,351,2.0,Email Opened,Unknown,Unemployed,Ringing,Email Opened
Landing Page Submission,Referral Sites,0,12.0,493,12.0,Email Link Clicked,Marketing Management,Unknown,Unknown,Email Link Clicked
Landing Page Submission,Direct Traffic,0,3.0,381,1.5,Page Visited on Website,Operations Management,Unemployed,Ringing,Page Visited on Website
API,Referral Sites,0,2.0,1944,2.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,5.0,65,5.0,Unreachable,Human Resource Management,Unemployed,Ringing,Modified
API,Organic Search,0,7.0,1334,7.0,Email Opened,Business Administration,Unknown,Interested in other courses,Modified
API,Google,0,7.0,615,7.0,Form Submitted on Website,"Banking, Investment And Insurance",Unknown,Interested in other courses,Modified
Lead Add Form,Reference,1,0.0,0,0.0,Email Opened,Finance Management,Working Professional,Will revert after reading the email,Email Opened
API,Google,0,1.0,250,1.0,Email Bounced,Unknown,Unemployed,wrong number given,Modified
Landing Page Submission,Direct Traffic,0,2.0,383,2.0,Email Link Clicked,Business Administration,Unknown,Unknown,Email Link Clicked
Lead Add Form,Welingak Website,1,0.0,1240,0.0,Email Opened,Unknown,Unemployed,Closed by Horizzon,Modified
Lead Add Form,Reference,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Working Professional,Will revert after reading the email,Email Opened
Lead Add Form,Welingak Website,1,0.0,458,0.0,Email Opened,Unknown,Unemployed,Unknown,Modified
Lead Add Form,Welingak Website,1,0.0,1060,0.0,Email Opened,Unknown,Unemployed,Unknown,Modified
API,Olark Chat,0,0.0,0,0.0,Email Opened,Unknown,Unemployed,Interested in other courses,Modified
API,Referral Sites,0,4.0,904,4.0,Olark Chat Conversation,Unknown,Unemployed,Already a student,Modified
API,Google,0,1.0,164,1.0,Converted to Lead,Unknown,Unknown,Interested in other courses,Modified
API,Google,0,2.0,1793,2.0,Converted to Lead,Unknown,Unemployed,in touch with EINS,Modified
API,Organic Search,0,5.0,1841,5.0,Olark Chat Conversation,Unknown,Unemployed,Interested in other courses,Modified
API,Organic Search,1,8.0,877,2.67,Email Link Clicked,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Email Link Clicked
Lead Add Form,Reference,1,0.0,0,0.0,Unreachable,Retail Management,Unemployed,Closed by Horizzon,Modified
Landing Page Submission,Organic Search,1,12.0,1411,6.0,Email Opened,Finance Management,Unemployed,Will revert after reading the email,Email Opened
API,Organic Search,1,6.0,385,6.0,Converted to Lead,Unknown,Unemployed,Will revert after reading the email,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
API,Google,0,12.0,68,1.71,Page Visited on Website,Media and Advertising,Unknown,Unknown,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,0,3.0,192,3.0,Email Opened,International Business,Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,5.0,309,5.0,Olark Chat Conversation,Finance Management,Unknown,Unknown,Modified
Lead Add Form,Reference,1,0.0,785,0.0,Approached upfront,Unknown,Unemployed,Will revert after reading the email,Modified
API,Organic Search,0,4.0,342,4.0,Email Opened,Unknown,Unemployed,switched off,Modified
API,Google,0,2.0,78,1.0,Email Opened,Unknown,Unemployed,Ringing,Email Opened
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
API,Organic Search,1,5.0,1234,1.67,Email Opened,International Business,Student,Will revert after reading the email,Email Opened
API,Organic Search,0,8.0,14,8.0,Olark Chat Conversation,Unknown,Unemployed,switched off,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unemployed,Interested in other courses,Modified
API,Referral Sites,0,4.0,77,4.0,Unreachable,Unknown,Unemployed,wrong number given,Modified
API,Referral Sites,1,3.0,1299,3.0,Olark Chat Conversation,Unknown,Unemployed,Unknown,Modified
Lead Add Form,Reference,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Will revert after reading the email,Email Opened
API,Referral Sites,0,2.0,457,2.0,Email Opened,Unknown,Unemployed,Interested in other courses,Modified
API,Organic Search,0,5.0,358,5.0,Page Visited on Website,Unknown,Unemployed,Busy,Modified
Landing Page Submission,Direct Traffic,0,3.0,481,3.0,Email Link Clicked,"Banking, Investment And Insurance",Unknown,Unknown,Email Link Clicked
API,Direct Traffic,0,2.0,205,2.0,Olark Chat Conversation,Unknown,Unemployed,Interested  in full time MBA,Modified
Landing Page Submission,Direct Traffic,1,1.0,1106,1.0,Converted to Lead,Finance Management,Unemployed,Will revert after reading the email,Modified
Landing Page Submission,Direct Traffic,1,9.0,1953,1.8,Email Opened,Supply Chain Management,Unemployed,Will revert after reading the email,Modified
Lead Add Form,Reference,1,0.0,1070,0.0,Email Opened,Marketing Management,Unemployed,Will revert after reading the email,Modified
Lead Add Form,Reference,1,0.0,0,0.0,Email Opened,Unknown,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,0,5.0,207,2.5,Form Submitted on Website,Finance Management,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,1,2.0,1587,2.0,Email Opened,E-COMMERCE,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Direct Traffic,1,2.0,1509,2.0,Email Opened,E-Business,Unemployed,Lost to EINS,Modified
API,Organic Search,0,4.0,331,4.0,Unreachable,Unknown,Unemployed,switched off,Modified
Landing Page Submission,Direct Traffic,0,4.0,187,4.0,Email Link Clicked,Human Resource Management,Unemployed,Ringing,Modified
API,Organic Search,1,3.0,1407,1.5,Converted to Lead,Human Resource Management,Unemployed,Will revert after reading the email,Modified
Lead Add Form,Reference,1,0.0,0,0.0,Email Opened,Finance Management,Working Professional,Closed by Horizzon,Modified
Landing Page Submission,Google,0,1.0,123,1.0,Converted to Lead,Unknown,Unemployed,Interested  in full time MBA,Modified
API,Organic Search,0,1.0,100,1.0,Converted to Lead,Unknown,Unemployed,Interested in other courses,Modified
Landing Page Submission,Direct Traffic,1,9.0,1164,4.5,Email Opened,Healthcare Management,Unemployed,Will revert after reading the email,Email Opened
API,Olark Chat,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
Landing Page Submission,Direct Traffic,1,1.0,1362,1.0,Unreachable,Rural and Agribusiness,Unemployed,Will revert after reading the email,Modified
API,Direct Traffic,0,7.0,1051,3.5,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,0,2.0,1816,2.0,Converted to Lead,Unknown,Unemployed,Interested in other courses,Modified
Landing Page Submission,Direct Traffic,0,7.0,74,2.33,Unreachable,Finance Management,Unemployed,Ringing,Modified
API,Organic Search,0,13.0,54,6.5,Email Opened,Unknown,Unemployed,Ringing,Email Opened
Landing Page Submission,Direct Traffic,1,3.0,1183,3.0,Email Opened,Finance Management,Unknown,Lost to EINS,Email Opened
Landing Page Submission,Direct Traffic,0,3.0,66,3.0,Email Opened,IT Projects Management,Unemployed,switched off,Email Opened
API,Olark Chat,0,3.0,1122,1.5,Email Opened,Unknown,Unknown,Unknown,Email Opened
Landing Page Submission,Organic Search,0,6.0,135,6.0,Email Opened,Supply Chain Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Direct Traffic,0,9.0,307,1.8,Olark Chat Conversation,E-Business,Unknown,Unknown,Modified
Landing Page Submission,Organic Search,0,12.0,28,6.0,Email Opened,International Business,Unemployed,Interested in other courses,Email Opened
API,Olark Chat,0,0.0,0,0.0,Email Opened,Unknown,Unemployed,Ringing,Email Opened
Landing Page Submission,google,0,5.0,306,5.0,Page Visited on Website,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,1,7.0,116,7.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Direct Traffic,0,2.0,1054,2.0,Email Opened,Human Resource Management,Unemployed,Ringing,Email Opened
API,Organic Search,1,3.0,195,3.0,Converted to Lead,Operations Management,Unemployed,Will revert after reading the email,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,1,3.0,732,3.0,Email Opened,Operations Management,Working Professional,Will revert after reading the email,Email Opened
API,Olark Chat,0,7.0,1130,2.33,Page Visited on Website,Human Resource Management,Unemployed,Ringing,Modified
API,Organic Search,0,13.0,594,4.33,Had a Phone Conversation,Unknown,Unemployed,Ringing,Modified
API,Organic Search,0,5.0,1117,5.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
API,Referral Sites,0,14.0,354,14.0,Unreachable,Unknown,Unemployed,Ringing,Modified
API,Google,0,3.0,217,3.0,Unreachable,Unknown,Unemployed,Ringing,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unemployed,Interested in other courses,Modified
API,Direct Traffic,1,5.0,1837,2.5,Email Opened,Finance Management,Unemployed,Will revert after reading the email,Email Opened
